machine_id,timestamp,temperature,center_line,ucl,lcl,out_of_control
CNC-01,2026-07-02 06:00:00,68.15,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:01:00,57.7,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:02:00,67.29,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:03:00,60.29,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:04:00,59.18,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:05:00,63.15,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:06:00,62.06,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:07:00,59.37,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:08:00,65.45,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:09:00,63.23,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:10:00,59.18,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:11:00,64.79,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:12:00,65.34,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:13:00,63.29,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:14:00,62.18,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:15:00,61.56,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:16:00,62.13,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:17:00,62.88,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:18:00,61.94,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:19:00,63.17,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:20:00,61.05,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:21:00,63.85,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:22:00,63.58,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:23:00,66.23,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:24:00,62.28,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:25:00,62.72,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:26:00,62.39,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:27:00,63.67,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:28:00,64.62,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:29:00,64.71,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:30:00,60.42,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:31:00,63.09,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:32:00,64.93,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:33:00,58.73,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:34:00,63.07,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:35:00,63.96,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:36:00,60.87,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:37:00,62.42,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:38:00,58.41,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:39:00,63.02,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:40:00,66.71,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:41:00,63.03,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:42:00,58.11,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:43:00,62.0,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:44:00,64.45,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:45:00,59.74,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:46:00,60.81,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:47:00,60.9,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:48:00,62.38,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:49:00,65.78,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:50:00,62.74,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:51:00,62.59,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:52:00,62.13,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:53:00,63.13,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:54:00,59.1,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:55:00,59.39,62.026,71.83,52.223,0
CNC-01,2026-07-02 06:56:00,59.93,62.026,71.83,52.223,0
